,entropy,mean_intensity,std_deviation,fractal_dimension,skewness,kurtosis,uniformity,relative_smoothness
2023-01-10 18:00:00,4.445276911844771,121.2293291091919,79.5582362735865,1.2798903309878251,-0.8491745078864693,-1.244184589401139,0.09698258962089312,0.9998420349177891
2023-01-10 19:30:00,4.44383306294779,121.23279666900635,79.55852367458002,1.2790506512004902,-0.849280193756854,-1.2440841593638832,0.09699193746928358,0.9998420360588879
2023-01-10 21:00:00,4.448824661583727,121.22818374633789,79.56139464067583,1.2834614423836612,-0.8489991339170799,-1.2443181432872423,0.09681767538859276,0.999842047457112
2023-01-10 22:30:00,4.452081729959646,121.21288299560547,79.56465058162071,1.2770143616349738,-0.8485844528907276,-1.244766714815829,0.09676960609613161,0.9998420603822591
2023-01-11 00:00:00,4.458128647942361,121.18401718139648,79.57459713519425,1.2819762470358655,-0.8477284844936958,-1.2460482093659824,0.09672123073141847,0.9998420998573857
2023-01-11 01:30:00,4.456107659504959,121.16077899932861,79.58447118938577,1.2811148834848576,-0.8471325227726284,-1.2472301604652465,0.0969076367236994,0.9998421390301467
2023-01-11 03:00:00,4.452596189174956,121.13798522949219,79.59155130928706,1.2765222461966732,-0.8466060475963288,-1.2483424321427112,0.09692868515776354,0.9998421671097222
2023-01-11 04:30:00,4.448404761383153,121.11036586761475,79.60129319181189,1.2782267028432623,-0.8459296770038576,-1.2496863544633485,0.09713244002705324,0.9998422057335364
2023-01-11 06:00:00,4.435704254397009,121.09291934967041,79.60540174331366,1.2805366197524326,-0.8457964405454079,-1.2505999058973116,0.09745640240726061,0.9998422220185332
2023-01-11 07:30:00,4.437497021109598,121.08157539367676,79.60467927662418,1.2794172975320692,-0.845633804280625,-1.2510046998067796,0.09738523624400841,0.9998422191550868
2023-01-11 09:00:00,4.431377960897608,121.0820083618164,79.59824717149841,1.275713111249275,-0.8459492719491736,-1.250710750380952,0.09754148793763306,0.9998421936584493
2023-01-11 10:30:00,4.434783756171787,121.09162330627441,79.59398639634847,1.2752096557136086,-0.8462400058252851,-1.2502028144761186,0.09738542746163148,0.9998421767654841
2023-01-11 12:00:00,4.4451787244429015,121.11399745941162,79.5864498432441,1.2827083417724476,-0.8466270833974237,-1.249153012764227,0.09706160886707949,0.9998421468781921
2023-01-11 13:30:00,4.448774407098699,121.14108562469482,79.57720662073001,1.2854852055007264,-0.8472958726576424,-1.2478264979624651,0.09694667424810177,0.9998421102112632
2023-01-11 19:30:00,4.433384940889329,121.21952629089355,79.5485016478688,1.2829708612135162,-0.8497631218004048,-1.244243853265859,0.0972080612082209,0.9998419962600639
2023-01-11 21:00:00,4.437001775419363,121.21575260162354,79.5555949043772,1.2826264197501764,-0.8494183272767823,-1.2446697233398571,0.09712418888193497,0.9998420244299003
2023-01-11 22:30:00,4.445529475106778,121.19837093353271,79.56578705917333,1.281622784879291,-0.8486312423160512,-1.2455039765547689,0.09690503603451361,0.9998420648933739
2023-01-12 00:00:00,4.447635396039514,121.18187808990479,79.57428246361765,1.2803567211534392,-0.8480261230940948,-1.2463551867284768,0.0969411155765556,0.9998420986087677
2023-01-12 01:30:00,4.446780737224569,121.1608018875122,79.58868426656942,1.2801291359681524,-0.847296613088945,-1.2477451036222476,0.09701888868221431,0.9998421557400065
2023-01-12 03:00:00,4.450886190503974,121.13230419158936,79.60205326156115,1.2820539598274723,-0.8462663470728115,-1.249222898318498,0.09696356600579747,0.9998422087464023
2023-01-12 04:30:00,4.441183313368401,121.11108303070068,79.61392187644542,1.2800035185538592,-0.8457116294017394,-1.2504364770847993,0.0973662917058391,0.9998422557816088
2023-01-12 06:00:00,4.436248815560868,121.0905408859253,79.61756894119597,1.2796047350975843,-0.8453810840012774,-1.2513327668754564,0.09737664219392173,0.9998422702306675
2023-01-12 07:30:00,4.429472320554183,121.08303642272949,79.61696930407028,1.27970471965781,-0.8454329931004305,-1.2516488593518924,0.09756817051311373,0.9998422678551422
2023-01-12 09:00:00,4.426592018732746,121.0824966430664,79.61344629247543,1.278697267605711,-0.845592190253482,-1.2514451833041345,0.09771100226862472,0.9998422538972787
2023-01-12 10:30:00,4.4321580961897205,121.09017753601074,79.60963947521029,1.2790584096134974,-0.8457779113391095,-1.2510398037748476,0.09748982394012273,0.9998422388129192
2023-01-12 12:00:00,4.439955678883444,121.10948085784912,79.60167150364065,1.2832545708662642,-0.8461755773981868,-1.2500786486322182,0.09713810716675653,0.9998422072331501
2023-01-12 13:30:00,4.448277458773894,121.13786029815674,79.59299134837664,1.2819655918962358,-0.8467207088357548,-1.2487218281656196,0.09697254659113241,0.9998421728199638
2023-01-12 15:00:00,4.44622963945084,121.16277885437012,79.58217252337853,1.2785770139360657,-0.8474721944122274,-1.2474502946882022,0.09698642921466671,0.9998421299120847
2023-01-12 16:30:00,4.438883215812292,121.1861047744751,79.57121239691818,1.2821587331916002,-0.848297038770363,-1.2462745058729037,0.09706238805301837,0.9998420864259547
2023-01-12 18:00:00,4.431356020654787,121.20657348632812,79.56427516907874,1.282099954573742,-0.848970705187882,-1.2454027026949472,0.09718168932886329,0.9998420588920605
2023-01-12 19:30:00,4.435078493913837,121.21967315673828,79.56425073563676,1.2775394349168439,-0.8490607581053239,-1.24491260636747,0.09719116026280972,0.9998420587950713
2023-01-12 21:00:00,4.437864751384997,121.20817470550537,79.57263440987069,1.275186317165245,-0.8485827673128218,-1.245584465900533,0.09718302211695118,0.9998420920690425
2023-01-12 22:30:00,4.441770690039583,121.2010555267334,79.57708916369077,1.2751833196822469,-0.8482330012626157,-1.245927244361796,0.09702899900185002,0.9998421097452409
2023-01-13 00:00:00,4.443110415135953,121.17389106750488,79.58976428922973,1.2813982231696557,-0.8474206208830137,-1.2473351887885937,0.09710140974493697,0.999842160023153
2023-01-13 01:30:00,4.448668631450707,121.15175533294678,79.60412904193039,1.2832780791587113,-0.8464883483770228,-1.248760215365853,0.09692603877556394,0.9998422169742176
2023-01-13 03:00:00,4.444395552598349,121.12398052215576,79.61764552982969,1.2775906624190236,-0.8457009355261024,-1.250220287087883,0.09718729681662808,0.9998422705340775
2023-01-13 04:30:00,4.439484349555321,121.10285377502441,79.62815484916058,1.2749953391246331,-0.8451231061904392,-1.251346460124438,0.09738832996663405,0.9998423121590171
